npe,B,T,D,dtype,kind,length,sequence,ops,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
1,1,2048,4096,bfloat16,single,1,M,M,2289.780999999959,2241.1520000002347,468.39899999985937,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,single,1,A,A,251.1820000000298,33.32000000006519,251.10999999998603,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,single,1,S,S,166.4549999999581,101.42499999993015,166.3959999999497,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,MM,M->M,4527.939000000013,4479.3719999998575,1323.391999999527,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,MA,M->A,2323.0230000000447,2274.5380000002915,575.4800000000978,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,MS,M->S,2421.746999999974,2371.3169999998063,869.2410000001546,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,AM,A->M,2337.7110000000102,2274.4980000000214,705.2390000002924,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,AA,A->A,335.64199999999255,66.6400000002468,335.5490000001155,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,AS,A->S,250.5119999999879,134.40300000004936,250.44200000003912,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,SM,S->M,2393.030000000028,2366.625999999349,833.7650000001304,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,SA,S->A,252.21999999997206,201.8059999998659,251.20599999988917,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,double,2,SS,S->S,244.125,202.160000000149,166.462999999756,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,triple,3,MMM,M->M->M,6769.079999999958,6720.341000000131,2092.55800000031,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,2048,4096,bfloat16,triple,3,MMA,M->M->A,4566.775000000023,4518.195000000065,1622.188000000082,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
